participant_id,location,session_number,method,base_price,base_price_brl,base_price_currency,base_price_unit,session_1_weight,session_2_weight,randomization_seed,presentation_screen_number,condition_id,selected_rank,option_id,cut_id,seal_id,title,subtitle,cut_image_url,seal_image_url,seal_color,price,price_brl,price_currency,price_unit,price_increase_percent,screen_started_at,option_selected_at,purchase_confirmed_at,time_spent_before_choice_ms,time_spent_before_choice_seconds,time_taken_to_confirm_ms,time_taken_to_confirm_seconds,changed_preference_before_confirming,initial_selected_option_id,final_confirmed_option_id,top_three_seals_used,gender,age_group,education_level,income_group,timestamp
PUCPR-1782390864676-75BHND,PUCPR,3,3 cuts x 3 prices price experiment with 3 screens,85,85,BRL,kg,0.33,0.67,PUCPR-1782390864676-75BHND-session-3,2,3.2,3,session-3-condition-3.2-red-2-20,price-cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,102,102,BRL,kg,20,2026-06-25T12:34:41.335Z,2026-06-25T12:34:41.648Z,2026-06-25T12:34:42.180Z,313,0.313,532,0.532,No,session-3-condition-3.2-red-2-20,session-3-condition-3.2-red-2-20,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:34:49.358Z
PUCPR-1782390864676-75BHND,PUCPR,3,3 cuts x 3 prices price experiment with 3 screens,85,85,BRL,kg,0.33,0.67,PUCPR-1782390864676-75BHND-session-3,3,3.1,1,session-3-condition-3.1-red-1-20,price-cut-1,red-1,Picanha bovina,Angus,/images/cuts/13.png,/images/seals/pucpr/a.png,red,102,102,BRL,kg,20,2026-06-25T12:34:44.723Z,2026-06-25T12:34:45.330Z,2026-06-25T12:34:46.718Z,607,0.607,1388,1.388,No,session-3-condition-3.1-red-1-20,session-3-condition-3.1-red-1-20,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:34:49.358Z
PUCPR-1782390864676-75BHND,PUCPR,3,3 cuts x 3 prices price experiment with 3 screens,85,85,BRL,kg,0.33,0.67,PUCPR-1782390864676-75BHND-session-3,3,3.1,2,session-3-condition-3.1-red-2-10,price-cut-2,red-2,Picanha bovina,Bem-estar animal,/images/cuts/13.png,/images/seals/pucpr/bea.png,red,93.5,93.5,BRL,kg,10,2026-06-25T12:34:46.718Z,2026-06-25T12:34:47.115Z,2026-06-25T12:34:47.670Z,397,0.397,555,0.555,No,session-3-condition-3.1-red-2-10,session-3-condition-3.1-red-2-10,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:34:49.358Z
PUCPR-1782390864676-75BHND,PUCPR,3,3 cuts x 3 prices price experiment with 3 screens,85,85,BRL,kg,0.33,0.67,PUCPR-1782390864676-75BHND-session-3,3,3.1,3,session-3-condition-3.1-green-1-5,price-cut-3,green-1,Picanha bovina,Tradicional,/images/cuts/13.png,/images/seals/pucpr/cb.png,red,89.25,89.25,BRL,kg,5,2026-06-25T12:34:47.670Z,2026-06-25T12:34:48.000Z,2026-06-25T12:34:48.548Z,330,0.33,548,0.548,No,session-3-condition-3.1-green-1-5,session-3-condition-3.1-green-1-5,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:34:49.358Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,1,3.2,1,session-3-condition-3.2-red-2-20,price-cut-2,red-2,Beef steak,Animal welfare,/images/cuts/14.png,/images/seals/nmsu/animal.png,red,24,,USD,lb,20,2026-06-25T12:42:10.924Z,2026-06-25T12:42:12.015Z,2026-06-25T12:42:12.750Z,1091,1.091,735,0.735,No,session-3-condition-3.2-red-2-20,session-3-condition-3.2-red-2-20,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,1,3.2,2,session-3-condition-3.2-red-1-5,price-cut-1,red-1,Beef steak,Angus,/images/cuts/14.png,/images/seals/nmsu/angus.png,red,21,,USD,lb,5,2026-06-25T12:42:12.750Z,2026-06-25T12:42:13.283Z,2026-06-25T12:42:14.160Z,533,0.533,877,0.877,No,session-3-condition-3.2-red-1-5,session-3-condition-3.2-red-1-5,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,1,3.2,3,session-3-condition-3.2-green-1-10,price-cut-3,green-1,Beef steak,Traditional,/images/cuts/14.png,/images/seals/nmsu/beef.png,red,22,,USD,lb,10,2026-06-25T12:42:14.160Z,2026-06-25T12:42:14.707Z,2026-06-25T12:42:15.390Z,547,0.547,683,0.683,No,session-3-condition-3.2-green-1-10,session-3-condition-3.2-green-1-10,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,2,3.3,1,session-3-condition-3.3-red-1-10,price-cut-1,red-1,Beef steak,Angus,/images/cuts/14.png,/images/seals/nmsu/angus.png,red,22,,USD,lb,10,2026-06-25T12:42:17.729Z,2026-06-25T12:42:18.352Z,2026-06-25T12:42:18.991Z,623,0.623,639,0.639,No,session-3-condition-3.3-red-1-10,session-3-condition-3.3-red-1-10,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,2,3.3,2,session-3-condition-3.3-red-2-5,price-cut-2,red-2,Beef steak,Animal welfare,/images/cuts/14.png,/images/seals/nmsu/animal.png,red,21,,USD,lb,5,2026-06-25T12:42:18.991Z,2026-06-25T12:42:19.410Z,2026-06-25T12:42:19.942Z,419,0.419,532,0.532,No,session-3-condition-3.3-red-2-5,session-3-condition-3.3-red-2-5,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,2,3.3,3,session-3-condition-3.3-green-1-20,price-cut-3,green-1,Beef steak,Traditional,/images/cuts/14.png,/images/seals/nmsu/beef.png,red,24,,USD,lb,20,2026-06-25T12:42:19.942Z,2026-06-25T12:42:20.437Z,2026-06-25T12:42:21.300Z,495,0.495,863,0.863,No,session-3-condition-3.3-green-1-20,session-3-condition-3.3-green-1-20,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,3,3.1,1,session-3-condition-3.1-red-2-10,price-cut-2,red-2,Beef steak,Animal welfare,/images/cuts/14.png,/images/seals/nmsu/animal.png,red,22,,USD,lb,10,2026-06-25T12:42:23.522Z,2026-06-25T12:42:24.030Z,2026-06-25T12:42:24.607Z,508,0.508,577,0.577,No,session-3-condition-3.1-red-2-10,session-3-condition-3.1-red-2-10,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,3,3.1,2,session-3-condition-3.1-green-1-5,price-cut-3,green-1,Beef steak,Traditional,/images/cuts/14.png,/images/seals/nmsu/beef.png,red,21,,USD,lb,5,2026-06-25T12:42:24.608Z,2026-06-25T12:42:24.968Z,2026-06-25T12:42:25.470Z,360,0.36,502,0.502,No,session-3-condition-3.1-green-1-5,session-3-condition-3.1-green-1-5,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
NMSU-1782391323884-WZP9N2,NMSU,3,3 cuts x 3 prices price experiment with 3 screens,20,,USD,lb,0.33,0.67,NMSU-1782391323884-WZP9N2-session-3,3,3.1,3,session-3-condition-3.1-red-1-20,price-cut-1,red-1,Beef steak,Angus,/images/cuts/14.png,/images/seals/nmsu/angus.png,red,24,,USD,lb,20,2026-06-25T12:42:25.470Z,2026-06-25T12:42:25.838Z,2026-06-25T12:42:26.671Z,368,0.368,833,0.833,No,session-3-condition-3.1-red-1-20,session-3-condition-3.1-red-1-20,"red-1, red-2, green-1",Collected separately,Collected separately,Collected separately,Collected separately,2026-06-25T12:42:27.315Z
